Stadt / City,Latitude,Longitude,AirBnB Inserate gesamt / Total number of listings,"""Poweruser""-Inserate / Number of ""power user"" listings",Normale Inserate / Listings non-power users,%,Einwohner (EW) / Population,EW pro Inserat / Pop per listing,Inserate pro 100 000 EW Listings per 100 000 pop.
Berlin,52.520007,13.404954,10479,3097,7382,29.55434679,3421829,326.5415593,306.2397332
Hamburg,53.551085,9.993682,2583,529,2054,20.48006194,1746342,676.0905923,147.9091724
München,48.135125,11.581981,3316,600,2716,18.09408926,1407836,424.5585042,235.5387986
Köln,50.937531,6.960279,1681,480,1201,28.55443189,1034175,615.2141582,162.5450238
Frankfurt,50.110922,8.682127,821,189,632,23.02070646,701350,854.2630938,117.0599558
Stuttgart,48.775846,9.182932,312,85,227,27.24358974,604297,1936.849359,51.63024142
Düsseldorf,51.227741,6.773456,945,326,619,34.4973545,598686,633.5301587,157.845682
Dortmund,51.513587,7.465298,105,40,65,38.0952381,575944,5485.180952,18.23093912
Essen,51.455643,7.011555,167,88,79,52.69461078,569884,3412.479042,29.30420928
Bremen,53.079296,8.801694,264,119,145,45.07575758,548547,2077.829545,48.12714316
Leipzig,51.339696,12.373075,790,298,492,37.72151899,531562,672.8632911,148.6185995
Dresden,51.050409,13.737262,447,169,278,37.80760626,530754,1187.369128,84.21980805
Hannover,52.375892,9.73201,446,272,174,60.98654709,518386,1162.300448,86.03627413
Nürnberg,49.45203,11.07675,484,186,298,38.42975207,498876,1030.735537,97.01809668
Duisburg,51.434408,6.762329,44,17,27,38.63636364,486855,11064.88636,9.037598464
Bochum,51.481845,7.216236,71,13,58,18.30985915,361734,5094.84507,19.62768222
Wuppertal,51.256213,7.150764,26,4,22,15.38461538,343488,13211.07692,7.569405627
Bielefeld,52.030229,8.532471,55,12,43,21.81818182,328864,5979.345455,16.72423859
Bonn,50.73743,7.098207,219,70,149,31.96347032,311287,1421.401826,70.35308253
Münster,51.960665,7.626135,143,24,119,16.78321678,299708,2095.86014,47.71310742
