Name Kiez (LOR) / Name of neighborhood,Anzahl Inserate Airbnb / Number of Airbnb listings
Reuterkiez,476
Helmholtzplatz,345
Graefekiez,314
Boxhagener Platz,298
Arkonaplatz,290
Reichenberger Straße,285
Teutoburger Platz,265
Invalidenstraße,254
Kollwitzplatz,254
Oranienburger Straße,239
Schillerpromenade,238
Traveplatz,225
Falkplatz,213
Winsstraße,210
Samariterviertel,208
Lausitzer Platz,207
Rixdorf,205
Arnimplatz,182
Humannplatz,161
Urbanstraße,160
Flughafenstraße,158
Alexanderplatzviertel,154
Wrangelkiez,152
Chamissokiez,134
Nollendorfplatz,128
Bötzowstraße,125
Oranienplatz,121
Donaustraße,119
Körnerpark,106
Viktoriapark,101
Weberwiese,101
Stralauer Kiez,98
Silbersteinstraße,95
Pankow Süd,94
Hertzbergplatz,92
Hausburgviertel,88
Reinickendorfer Straße,85
Dennewitzplatz,83
Emdener Straße,81
Mehringplatz,81
Soldiner Straße,80
Charitéviertel,79
Humboldthain Nordwest,78
Kaiser-Wilhelm-Platz,77
Elsenstraße,77
Heine-Viertel Ost,76
Leipziger Straße,74
Richard-Sorge-Viertel,74
Leopoldplatz,69
Schöneberger Insel,69
Sparrplatz,67
Barbarossaplatz,62
Erich-Weinert-Straße,61
Stephankiez,59
Rathaus Yorckstraße,59
Moritzplatz,58
Gesundbrunnen,52
Weitlingstraße,52
Wittenbergplatz/Viktoria-Luise-Platz,51
Savignyplatz,50
Neu-Tempelhof,50
Brunnenstraße,48
Glasower Straße,48
Elberfelder Straße,47
Wassertorplatz,45
Rehberge,44
Westliche Müllerstraße,44
Beusselkiez,43
Rüdigerstraße,43
Heine-Viertel West,42
Droysenstraße,41
Halensee,41
Friedenau,40
Manteuffelstraße,40
Friedenstraße,39
Andreasviertel,39
Schaperstraße,37
Pankow Zentrum,36
Anton-Saefkow-Park,36
Bayerischer Platz,36
Karl-Marx-Allee,35
Askanischer Platz,35
Amtsgerichtsplatz,35
