Straßenname / Street name,Anzahl Inserate / Number of listings
Sonnenallee,104
Weserstraße,95
Torstraße,91
Schönhauser Allee,89
Boxhagener Straße,79
Prenzlauer Allee,76
Brunnenstraße,68
Kastanienallee,63
Urbanstraße,62
Hermannstraße,61
Linienstraße,61
Reuterstraße,60
Choriner Straße,58
Danziger Straße,58
Dunckerstraße,57
Oderberger Straße,54
Stargarder Straße,54
Graefestraße,53
Reichenberger Straße,53
Karl-Marx-Straße,52
Kottbusser Damm,52
Lychener Straße,52
Fehrbelliner Straße,51
Erich-Weinert-Straße,49
Emser Straße,46
Friedelstraße,46
Greifswalder Straße,46
Potsdamer Straße,46
Frankfurter Allee,45
Wrangelstraße,45
Manteuffelstraße,44
Skalitzer Straße,44
Donaustraße,43
Oranienstraße,43
Wiener Straße,42
Chausseestraße,40
Schwedter Straße,40
Grünberger Straße,39
Köpenicker Straße,38
Rigaer Straße,38
Warthestraße,38
Weichselstraße,38
Zionskirchstraße,38
Eberswalder Straße,36
Mainzer Straße,36
Rheinsberger Straße,36
Wichertstraße,36
Blücherstraße,35
Kopenhagener Straße,35
Mittenwalder Straße,35
Flughafenstraße,34
Bergmannstraße,33
Hobrechtstraße,33
Kurfürstenstraße,33
Maybachufer,33
Dieffenbachstraße,31
Pannierstraße,31
Pappelallee,31
Stralauer Allee,31
Winsstraße,31
Gleimstraße,30
Hasenheide,30
Leipziger Straße,30
Straßmannstraße,30
Weisestraße,30
Böckhstraße,29
Kopernikusstraße,29
Niederbarnimstraße,29
Schliemannstraße,29
Wühlischstraße,29
Boddinstraße,28
Bornholmer Straße,28
Chodowieckistraße,28
Gneisenaustraße,28
Karl-Kunger-Straße,28
Knaackstraße,28
Rostocker Straße,28
Sanderstraße,28
Schillerpromenade,28
Simon-Dach-Straße,28
Ackerstraße,27
Kienitzer Straße,27
Marienburger Straße,27
Okerstraße,27
Paul-Robeson-Straße,27
Pflügerstraße,27
Seestraße,26
Warschauer Straße,26
Dresdener Straße,25
Eisenbahnstraße,25
Fuldastraße,25
Kollwitzstraße,25
Korsörer Straße,25
Lausitzer Straße,25
Auguststraße,24
Christburger Straße,24
Falckensteinstraße,24
Gubener Straße,24
Schreinerstraße,24
Selchower Straße,24
Karl-Marx-Allee,23
Krossener Straße,23
Paul-Lincke-Ufer,23
Yorckstraße,23
Alte Schönhauser Straße,22
Anklamer Straße,22
Birkenstraße,22
Leinestraße,22
Muskauer Straße,22
Petersburger Straße,22
Waldemarstraße,22
Bänschstraße,21
Eisenacher Straße,21
Herrfurthstraße,21
Koloniestraße,21
Nogatstraße,21
Obentrautstraße,21
Winterfeldtstraße,21
Altenbraker Straße,20
Braunschweiger Straße,20
Driesener Straße,20
Gaudystraße,20
Greifenhagener Straße,20
Hauptstraße,20
Liselotte-Herrmann-Straße,20
Oppelner Straße,20
Scharnweberstraße,20
Schönleinstraße,20
Sredzkistraße,20
Veteranenstraße,20
Wörther Straße,20
Friedrichstraße,19
Gartenstraße,19
Görlitzer Straße,19
Lichtenrader Straße,19
Rochstraße,19
Rykestraße,19
Silbersteinstraße,19
Wilhelmstraße,19
Allerstraße,18
Charlottenstraße,18
Ebertystraße,18
Elsenstraße,18
Finowstraße,18
